"name","pval","adj_pval","f_statistic","df1","df2","lfc"
"DDX39A",3.16823458839547e-06,0.0406833003495862,21.8218860511226,1,2249.08218817443,-10
"SLC52A2",1.44976740805224e-05,0.0930823164339938,18.8855303023155,1,2249.08218817443,1.47472559591129
"POLE2",3.3321820827075e-05,0.114604852830304,17.2881919869341,1,2249.08218817443,2.55833933149284
"DDX19B",4.25819887847708e-05,0.114604852830304,16.8189820316212,1,2249.08218817443,1.22593197240507
"GGH",4.46245825209502e-05,0.114604852830304,16.7294108075004,1,2249.08218817443,2.54654092624344
"RASSF5",6.4938186985509e-05,0.138978543180153,16.0131824714229,1,2249.08218817443,1.15731024335831
"PRKCD",0.000165403261134323,0.28729724167194,14.2362343962503,1,2249.08218817443,1.02664135102138
"PARP8",0.000178987456847248,0.28729724167194,14.0867942931015,1,2249.08218817443,0.548972729600967
"LRTOMT",0.000238177442073768,0.339139187063772,13.5466735975447,1,2249.08218817443,3.20240882723031
"BEX2",0.000264106523684894,0.339139187063772,13.3516359530393,1,2249.08218817443,2.43118094074666
"ALG11",0.000409967948116173,0.471605808217444,12.5237203783848,1,2249.08218817443,1.57200510459858
"TNFSF10",0.000440718767900423,0.471605808217444,12.3878697476713,1,2249.08218817443,0.844086815769484
"FER",0.000644730988616485,0.558118470066028,11.6749623633441,1,2249.08218817443,0.538714952976866
"SDCCAG8",0.00067794371731393,0.558118470066028,11.5810437240433,1,2249.08218817443,0.407298547486599
"PSMB10",0.000698935783066863,0.558118470066028,11.5240521735643,1,2249.08218817443,-0.920008852064924
"PHACTR1",0.000724996346155795,0.558118470066028,11.4556610228587,1,2249.08218817443,1.07194036720746
"TUBG1",0.000827924942057145,0.558118470066028,11.2078798529829,1,2249.08218817443,-10
"VDAC1",0.000828589530840618,0.558118470066028,11.2063833682711,1,2249.08218817443,-0.804818685571279
"USO1",0.000937974482679109,0.558118470066028,10.9752921553099,1,2249.08218817443,-0.754957301691884
"BECN1",0.000947160758192566,0.558118470066028,10.9571429420257,1,2249.08218817443,-1.19849855880119
"HPF1",0.00101500479663397,0.558118470066028,10.8283769167583,1,2249.08218817443,1.02350232780192
"KIAA1614",0.00105644808027457,0.558118470066028,10.7539376591951,1,2249.08218817443,3.78557076939062
"NEGR1",0.00106979223404446,0.558118470066028,10.7305971867853,1,2249.08218817443,1.51374239943721
"FKBP1B",0.00109626276289307,0.558118470066028,10.6851569058327,1,2249.08218817443,-10
"DNAL1",0.00110933435124071,0.558118470066028,10.6631258176482,1,2249.08218817443,1.41419737343922
"COL6A1",0.00113005842393246,0.558118470066028,10.6287301373518,1,2249.08218817443,1.4896539301673
"MFGE8",0.00121178125994897,0.558790546260634,10.4990514641489,1,2249.08218817443,2.49772387188236
"MRPS21",0.00121845146758802,0.558790546260634,10.4888610597098,1,2249.08218817443,-0.817234730215615
"MICB",0.00131485289492151,0.562883366466514,10.3475822092329,1,2249.08218817443,1.21386822724099
"EEF1A1",0.00139309550196768,0.562883366466514,10.2404261138148,1,2249.08218817443,-0.323439145103236
"ELOA",0.00144188737773914,0.562883366466514,10.1766484705456,1,2249.08218817443,-1.41348212140585
"PTDSS1",0.00144467600717998,0.562883366466514,10.1730697058568,1,2249.08218817443,0.826465795587288
"HAUS1",0.00149022621826556,0.562883366466514,10.1155841273527,1,2249.08218817443,-1.83300551936519
"MMP9",0.00156215604874013,0.562883366466514,10.0283375500165,1,2249.08218817443,0.590529013466741
"RNH1",0.00158277346152478,0.562883366466514,10.0040798841473,1,2249.08218817443,-0.728477265313596
"ECI1",0.0015889160283905,0.562883366466514,9.99691467734935,1,2249.08218817443,-1.39536619977615
"MAGOH",0.00162188961601596,0.562883366466514,9.95892518865559,1,2249.08218817443,-1.38363089390089
"P2RY13",0.0016733016315579,0.565443848706183,9.9012273206744,1,2249.08218817443,3.18698279234526
"PRELID1",0.00178057985915952,0.586267332601727,9.78641173930602,1,2249.08218817443,-0.63028240744073
"UPP1",0.00188442045001107,0.59229773542795,9.68177117460525,1,2249.08218817443,-1.35537469773234
"ZNF706",0.00189853798345301,0.59229773542795,9.66799845297316,1,2249.08218817443,0.467571524353118
"TRANK1",0.00193727162121127,0.59229773542795,9.6307378852967,1,2249.08218817443,0.685076780430506
"GRAMD1A",0.00210839146372918,0.622056392278305,9.4746965218778,1,2249.08218817443,-1.44628400312502
"SIRT3",0.00214810658280998,0.622056392278305,9.44032069891766,1,2249.08218817443,-2.9999338672995
"FAM214B",0.00219547750135801,0.622056392278305,9.40015217841881,1,2249.08218817443,-1.46700918700729
"CAMK2D",0.00222837738842785,0.622056392278305,9.37276884960056,1,2249.08218817443,0.626807264006904
"PIGM",0.00232168645422027,0.626113406461121,9.29728272127449,1,2249.08218817443,1.35794349615341
"PKN1",0.00234042858890537,0.626113406461121,9.28249248715447,1,2249.08218817443,-0.874294178409279
"RERE",0.0024266202851028,0.635923083285817,9.21598792950802,1,2249.08218817443,0.338607089939529
"UTY",0.00263993585373048,0.672148522922268,9.06119712336785,1,2249.08218817443,0.468336902508399
"STAC",0.00266954089783005,0.672148522922268,9.04072475318122,1,2249.08218817443,3.23632187093178
"POLR2L",0.00281138125875416,0.677759495073177,8.94573593229588,1,2249.08218817443,-0.558468960546676
"PLP2",0.00295131963332579,0.677759495073177,8.85667854892656,1,2249.08218817443,-10
"ZFP36",0.00295957116185959,0.677759495073177,8.85156206583568,1,2249.08218817443,-1.86900266313039
"C8orf37",0.00298987452956424,0.677759495073177,8.8328956410621,1,2249.08218817443,2.14951757877122
