"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"9172","ITGAX",1.90474137540207e-08,0.000238873615889174,31.8104323545931,1,2339.04819771305,-1.55083875784474
"3894","ZNF322",0.000265666955041309,0.789222682742275,13.3388897143323,1,2339.04819771305,1.0975008215802
"8677","SMAD3",0.000338300314488395,0.789222682742275,12.8835495763575,1,2339.04819771305,1.57693641222297
"2437","NSUN3",0.000518665011116803,0.789222682742275,12.0810002624168,1,2339.04819771305,-1.05809353139509
"7926","RCBTB2",0.000522528951754478,0.789222682742275,12.0670907424934,1,2339.04819771305,-0.501345318595931
"1791","DHRS9",0.0005246079808914,0.789222682742275,12.0596495298388,1,2339.04819771305,-2.34290657409912
"8255","RDH12",0.000578628887701011,0.789222682742275,11.8760810188545,1,2339.04819771305,3.83456320494012
"9916","PHB",0.000613629927314985,0.789222682742275,11.7661710467414,1,2339.04819771305,-1.49205952770288
"7648","CMKLR1",0.000718885077568201,0.789222682742275,11.4702517092046,1,2339.04819771305,0.516965574651087
"4172","CD109",0.000734738802838013,0.789222682742275,11.4295169759072,1,2339.04819771305,-1.08535934414777
"11887","CRYBB1",0.000762940764791776,0.789222682742275,11.3592038824183,1,2339.04819771305,1.4748468970468
"8303","AREL1",0.000798255477308881,0.789222682742275,11.274774370122,1,2339.04819771305,0.946553894207559
"7980","DNAJC3",0.000908094396382056,0.789222682742275,11.0344609181038,1,2339.04819771305,0.650578523150516
"7091","NLRX1",0.000923156402684261,0.789222682742275,11.0038225044226,1,2339.04819771305,-10
"10657","IER2",0.000943970994429003,0.789222682742275,10.9623047328177,1,2339.04819771305,-1.26506257666485
"6473","OSBPL5",0.00110014168978319,0.833662873757321,10.6775267613025,1,2339.04819771305,1.08197639348136
"11747","PSMG1",0.0011300748627601,0.833662873757321,10.6276477019849,1,2339.04819771305,-10
"6401","DOCK1",0.00131963357024762,0.849458791583902,10.3398503595088,1,2339.04819771305,0.737120829196858
"2497","POGLUT1",0.00132871588618073,0.849458791583902,10.3271340772952,1,2339.04819771305,-3.2174553695927
"4457","LFNG",0.00142436727152097,0.849458791583902,10.1983190498785,1,2339.04819771305,1.06314245552484
"8554","PDIA3",0.00147843897828783,0.849458791583902,10.1293244938359,1,2339.04819771305,-0.701110505221773
"10817","PDCD5",0.00150879937265374,0.849458791583902,10.0916976865831,1,2339.04819771305,-1.51548442808985
"7407","ACVR1B",0.00167704231154352,0.849458791583902,9.89617865720804,1,2339.04819771305,0.950232614455234
"6747","STIP1",0.00178417547419902,0.849458791583902,9.78178523188671,1,2339.04819771305,-1.51368887164274
"7288","PYROXD1",0.00182472574968273,0.849458791583902,9.74029503181741,1,2339.04819771305,-1.45131536185862
"811","FLAD1",0.00184340892285914,0.849458791583902,9.72149249470529,1,2339.04819771305,-3.0044991199836
"11019","ZNF234",0.0019210339174647,0.849458791583902,9.64538815947533,1,2339.04819771305,1.27299745381382
"9538","EIF5A",0.00200020026083828,0.849458791583902,9.57092063598095,1,2339.04819771305,-0.834102465874472
"11412","KIF16B",0.00217178568377382,0.849458791583902,9.41929232402925,1,2339.04819771305,-0.987448612153511
"1531","STAMBP",0.00238492891767839,0.849458791583902,9.24704226542308,1,2339.04819771305,-1.10935342787285
"11103","CA11",0.00242112225460355,0.849458791583902,9.21935316856053,1,2339.04819771305,1.64013154151396
"4397","ZDHHC14",0.00243928779211485,0.849458791583902,9.20561396061376,1,2339.04819771305,0.72670357322978
"7835","EEF1AKMT1",0.00244190791927069,0.849458791583902,9.20364084916149,1,2339.04819771305,-10
"5192","TMEM68",0.00244375702279239,0.849458791583902,9.20224965803176,1,2339.04819771305,-2.33937625789401
"5595","ANXA1",0.00245588893215015,0.849458791583902,9.19314852958908,1,2339.04819771305,-0.564259346339274
"11442","CST7",0.00246483074649855,0.849458791583902,9.186469731838,1,2339.04819771305,0.891888401707443
"3289","OTULIN",0.00255408014651629,0.849458791583902,9.12112525372758,1,2339.04819771305,0.778288170200009
"5247","FABP4",0.00284633023129955,0.849458791583902,8.92232266932788,1,2339.04819771305,-2.61958275703764
"3794","MGAT1",0.00284847335594897,0.849458791583902,8.92094274505487,1,2339.04819771305,-0.408726489807161
"7564","PPP1R12A",0.00286591028882319,0.849458791583902,8.90975444160888,1,2339.04819771305,-0.489086614242834
"11818","ESS2",0.0029025683104123,0.849458791583902,8.88645697114756,1,2339.04819771305,-10
"8198","LGALS3",0.00297778934742883,0.849458791583902,8.83957375243324,1,2339.04819771305,-0.494196284405873
"9084","APOBR",0.0030417273620101,0.849458791583902,8.80065997697912,1,2339.04819771305,0.703004470816016
"6582","EIF3M",0.0031959290236418,0.849458791583902,8.71013083824903,1,2339.04819771305,-1.05803473876029
