"id","APOEuptake","DQBSA","Gcase_diff","LDLuptake","Lysotracker","TREM2"
"ABCA1",4.08110033118037,-1.01635576965203,4.5656158749761,4.5656158749761,1.21985459719078,2.08819775223132
"ABCA7",-0.48647560143279,-0.401978295183556,0.831944982233862,-0.247953997663497,0.572002914729206,1.53823977108963
"ABI3",-0.716261329511493,-0.416123000735968,-0.783233510194749,-0.360103146307088,0.96889015104449,-0.640250125007096
"ACTB",-1.11257733296081,0.832210744834941,-1.12125343575419,-1.97477224589786,1.44988711870973,-0.658868835049088
"ADA2",-0.837609598968334,-0.16908472451608,0.89778534336537,1.42295224288754,-0.802662211456722,0.703538857186609
"ADAM10",0.480896585025369,1.41329160959066,0.874988799571498,1.04448728265002,0.628280810787837,-2.10415417962303
"ADGRG1",1.76325791408223,-0.738204810666228,0.982872894054362,0.835759881725079,1.20035885803086,0.765052975381992
"AIF1",1.10423779180193,1.67963681607747,1.32106407611603,-0.633342508076557,1.68102015379727,-1.17947270302936
"APOC1",1.5327802842339,-1.00252520388044,-1.32881200656333,1.20984076624523,1.17621242655687,-1.15409798355087
"APOE",-0.225808970264596,-1.05053980505906,-0.773730803559559,-0.276570394505552,1.08182566542188,0.624651212398327
"APP",1.40312354903089,0.919737406448184,1.1456499999419,1.94769056276486,-1.34911509645518,0.600084382910704
"AXL",4.5656158749761,3.5313975231243,4.5656158749761,4.5656158749761,1.3447375619171,1.88249380663428
"BIN1",-0.920330644026167,-1.12887634701006,0.831944982233862,0.767439922355654,-0.716261329511493,-1.47773022848949
"C1QA",1.04185264943517,0.712072309957863,-0.773730803559559,1.2486858453374,-0.792841799036541,-1.32881200656333
"C1QB",-0.658868835049088,-0.518714282960319,-1.08964398419803,-1.92237173106457,-1.14410522752838,0.716261329511493
"C1QC",-0.495127674392955,0.930117984612515,1.1966833477745,-0.688766849936691,0.643946695917591,-1.03031960262646
"C3AR1",-0.703538857186609,-1.3520478766042,0.920330644026167,-1.29199175478486,0.524659379610053,-0.636086567683141
"C9orf72",-0.524659379610053,-1.47437742206949,-0.285553660081569,-1.00449516617519,-2.02754213425202,0.628280810787837
"CCR2",1.2968872037442,2.01980132175376,0.788233734822851,0.779780646318525,-1.46123850293594,-0.847439850964496
"CD14",-1.57981167991268,1.40746347692962,-1.30795079261548,1.12497412275731,0.640250125007096,-0.956202375558077
"CD180",1.00252520388044,-0.703538857186609,-0.406398257239038,0.581267768565371,-0.340021947355118,0.450638657885071
"CD19",-1.72492494189176,-0.658868835049088,0.530680790196249,-2.29057510755203,-1.24633890640004,0.610395271032153
"CD1D",-0.678744129071095,1.33309692003509,-0.686655254825856,-0.925742145066595,1.47564208863407,1.68292299212445
"CD226",-0.582336566079676,0.984438410572354,1.51908937814689,0.575578672750701,0.874988799571498,1.1966833477745
"CD300A",-1.47773022848949,0.925838338216072,-0.914507954619747,-0.620938634443601,1.55578174690086,-2.14717942576159
"CD300C",-0.807410533892796,0.860814895100436,0.995876818365662,0.876331215402437,0.559178360456073,0.88645944232115
"CD300LB",-1.7054689416304,-0.607001374451803,0.716261329511493,-2.10346662247592,-1.29526160336395,-1.88632627991633
"CD300LF",0.842282221595387,0.95697474959224,0.298161375047647,1.25634751994792,1.35584025542698,1.06574263260067
"CD33",0.456250298010206,-0.249375932839658,-1.7054689416304,0.421048043469023,-0.858040681739091,-1.02367247590862
"CD37",-1.43607851825131,-0.831944982233862,-0.268206983256524,-0.960865101383778,0.75125367977498,1.57256317569128
"CD40",1.30795079261548,-1.80360660438269,1.058055808159,-0.923743265862416,-0.778812794091238,-1.37423093437027
"CD44",-0.852421844817751,-3.05692529531854,-1.12887634701006,-2.9163966631542,-0.552420921314843,-2.60981197578505
"CD48",-0.628280810787837,0.699355324812891,1.9712700078874,-1.43023354752772,-1.89625752395496,-1.56445820871473
"CD52",0.712072309957863,-0.552420921314843,1.00252520388044,-0.744787818699375,-1.01652384173061,-4.5656158749761
"CD58",-1.25480378015939,-0.96225804155274,-2.36044550272118,-1.92722175414527,-0.264986320376669,-1.54925680062377
"CD68",4.32955640390369,0.885791297816926,-0.807410533892796,4.5656158749761,1.50284119532335,1.55389275578625
"CD69",0.572002914729206,0.759489153484359,-0.425955873676166,0.464583151728615,0.920330644026167,-0.498246941770658
"CD80",-1.59095368211846,-0.666439847359749,-1.03031960262646,1.1237007456277,1.84472192371956,1.2552720992586
"CD81",1.45930928861982,-1.23736932911663,-4.5656158749761,1.26575726315208,-1.71942507312274,1.77519921084655
"CD86",-1.27553484202096,-0.995876818365662,-0.778812794091238,-1.61898727991718,-1.6003092312112,1.0735821531003
"CDKN2A",0.831944982233862,-1.75983963933196,-1.03752768536137,-1.24128631044914,-1.41220367071356,0.755531732203673
"CHRNE",-0.506850100567845,-0.386360094439776,0.281861123919247,-0.916356391218085,-1.12047828762879,-0.949827323245783
"CLDN7",0.204567563502483,1.06848897711293,0.36858108018633,-0.737447925362543,-0.518714282960319,0.96225804155274
"CLEC2B",-1.2295117370338,-0.559178360456073,-0.682947527682985,0.488225675571457,1.82010510726628,0.662345223820357
"CLEC2D",1.27482836101582,-1.058055808159,0.32550354508383,-0.281861123919247,-0.686655254825856,-0.521526571828932
"CLEC7A",-0.306925603856769,1.0565434518353,0.401978295183556,-0.462922387183702,-1.02367247590862,0.778812794091238
"CLECL1",2.02744425439567,1.40047875821647,1.21488488351435,1.50055769624369,-0.118098010263717,1.39177679151715
"CLIC1",1.04817062906936,-0.31631951528157,0.96889015104449,0.543333794805403,-1.59380373830492,-1.09679732459597
