"","AIF1","AXL","C1QA","C1QB","C1QC","CD14","CD1D","CD300A","CD300LB","CD300LF","CD37","CD48","CD58","CD68","CD81","CD86","CLEC7A","CLECL1","CLIC1","CSF1R","CSF2RA","CSF3R","DPYD","FCER1G","FCGR2A","FCGR3A","FPR2","FPR3","GBA","GPR183","GPR65","GRN","ICAM1","IFNGR1","IFNGR2","IL15RA","IL2RG","ITGA5","ITGAM","ITGAX","ITGB2","LAPTM5","LILRA5","LILRB4","LRP1","LRRK2","LYZ","MRC2","MS4A4A","MS4A6A","NLRC4","NLRP3","NPC2","P2RY6","PILRA","PLEK","PTPRC","S100A4","SCIMP","SIGLEC7","SIGLEC9","SPI1","SPP1","SQSTM1","TGFB1","TGFBI","TGFBR1","TGFBR2","TLR2","TMEM106A","TNFRSF10B","TREM2","TYROBP","VCP"
"APOEuptake",1.13291488143192,1.08182566542188,-1.66723341894284,0.697196226743246,0.416123000735968,0.738204810666228,-2.45473112095147,1.33178758107074,0.306925603856769,-1.7562659992725,-0.65743694912014,1.84137925968088,1.90300417852266,-2.45117678800757,-0.941224156438123,-2.14281445681019,-1.1150709943617,0.783233510194749,-2.19890047278687,1.36714455547145,-1.0735821531003,-1.20601942667848,-1.00175900730855,-0.992261456711545,0.575637837933392,0.925838338216073,-0.651149477760037,-1.57347012769045,0.42967784737645,-1.16260451030067,1.69782391925885,0.773730803559559,0.436574443722599,-0.402549046793295,-1.19185016934046,1.02367247590862,-2.20595715145563,0.342240378812618,-1.55046478256254,-1.00840515330845,-1.99949335618076,1.23642669064227,0.388589277399668,-0.450638657885071,-1.51366825585111,-0.371318930165507,-1.7962233661259,1.96753990602333,1.35461579012886,-2.03136482374297,0.548410599520449,-1.16972910898435,-0.628280810787837,-1.1543663618829,0.555796468462631,-1.13205812110589,-0.612450104925599,1.43211818831798,-2.14754397743311,0.935113131289525,-0.687925019647033,1.62821172251421,-0.704229279157073,-1.82036131215254,0.943666691892684,-0.909455001933173,0.792841799036541,-1.24169260349168,-1.28641002940542,0.556747438908139,1.75989860445348,-0.74824896728497,-1.2552720992586,1.87008510899982
"BafA1",-1.12337090811376,-0.994170227591213,-1.09780419334815,-1.77140727316783,1.9056856668899,-1.14942688353462,-1.23213140969322,1.45974561619419,-2.45422145755593,1.1612014136991,-1.73422595181261,-0.408849651307774,-1.64819335497584,0.759489153484359,1.23920389093392,0.930600994276457,-0.388589277399668,1.50474363497267,1.10421473330654,0.808956792154131,-1.79578322276522,-0.475206211770588,-1.40550891570306,0.733489384568083,-1.01090897088029,-1.0536569617141,-2.34631649383175,-1.38625189571747,2.08654813232917,-1.48233943639271,0.292898153875077,1.48064949062729,-0.686655254825856,0.20185510570969,2.19195162242332,1.43695774639092,0.777879592688255,-1.82615445220722,-1.33995492410713,-1.53152375519553,-0.301687891032996,-1.19363698481836,2.72400771439609,-1.16762019613565,0.952585750156021,0.855923672456391,-0.783233510194749,-1.01772218745876,-0.716261329511493,-2.39988998429142,-0.919967008393608,2.21096876665884,-1.63661949315145,-3.18267758900339,2.01980132175376,-1.24631165677396,-1.52036207750668,-0.795883074177641,-0.970695366304785,-1.00611552790217,1.17874432461675,1.27612877844188,-0.425955873676166,0.930117984612515,-0.751137349429981,-0.831449049191713,1.69977635886073,-0.837004568661257,-1.57420527603807,2.38054605448121,-0.617795727763195,0.632010524666898,0.73347298305209,2.38502415445834
"Bodipy",1.64441746481413,-0.952447656706016,-1.52263519264793,1.00414236033467,-1.77711087041455,0.328676789226368,1.47152200869242,-2.61118525967916,-1.60556282043337,-0.529310605104373,-1.05130180141385,-0.951304151770231,0.759204892225263,-1.22919154022989,-1.29372623509437,-0.599439264620879,-3.37313316815516,-1.16593679731137,0.870000739644576,-1.19519718022029,-0.74715500627751,0.598434577138229,-1.69390150993208,0.812177130851296,1.92124363042414,1.34517105889182,-1.70476104236478,-0.970233732760091,-2.14707890998215,1.73044947994262,1.5863938263951,0.638727837484811,0.821520240199154,-1.80115152762357,1.86613128434192,0.685687802629853,0.984519802033057,-1.30102470074973,-0.931954577852485,-2.69363743640917,1.53444587123278,-1.74716915762367,0.307713955118966,1.31663798487048,-0.464276023199085,0.548818519051848,-1.3270564801606,-1.00248377280347,0.92664669915834,-1.17451202062808,0.601916080057705,-0.684720991787496,-0.747768177233228,-0.513216335993931,0.622291818435542,-2.01640158418078,1.7548731954073,0.732767904397476,-1.2198809721528,1.40031169575674,1.14911151697326,-2.22470572052163,-1.48675322328604,0.413636961523466,-1.63251994657392,0.612268692122827,-1.24391730416618,-1.16985332475054,-1.73617441316147,0.76443174015239,0.486941201270553,0.630939627443898,-0.917195890255882,0.91964175327983
"DQBSA",-1.68772515857276,2.6166436165678,1.17062386571997,-1.40766598001961,-1.46105626918691,1.00252520388044,-1.18537300545173,-1.51564160809567,-0.482106911911178,0.995876818365662,-1.81372548163636,0.908962349858715,0.37991299595078,1.49214933858224,1.2482486848309,-2.10747992528492,-1.71958997354553,1.96753990602333,0.729117157819321,2.19723033708179,-0.524659379610053,0.673844783118158,0.572002914729206,-4.32955640390369,-0.679817538670083,0.861922802700003,-1.35804312665929,-0.852421844817751,-0.420294948075804,-1.75989860445348,1.84137925968088,-0.624377039985511,-1.93682286430037,-1.41567732567901,-2.22663018316767,-2.17449474004178,0.534074487577124,0.96889015104449,-1.64678619439834,0.807410533892796,-1.78955797220422,-1.30709632279721,-0.880054105112245,0.909455001933173,1.35461579012886,0.635749051104172,1.26656744263832,-1.17251588078925,1.16386185547677,-0.831944982233862,1.93479057614915,-1.27641176359644,0.406398257239038,0.792841799036541,1.3427590719947,0.423363597410686,-0.837609598968334,-1.63242493423563,1.02367247590862,-1.66155017804458,-1.08807952905048,-2.69039261435305,-0.562478570657423,-2.14206813030444,0.504186964245447,0.614719469206963,-0.657763673836619,1.2552720992586,-0.787208196256399,-1.18821173885549,1.29842888139976,-0.74753613354878,-2.17582965992932,-0.763777243849523
"Gcase_diff",0.406398257239038,-1.56445820871473,-1.08964398419803,-1.54925680062377,-1.6429658457525,-0.438215601498085,-0.792841799036541,1.53758547972414,-0.219629133626567,-1.12887634701006,0.516149496936653,0.401978295183556,-1.44942117055935,-0.142367160827661,2.00217419506285,1.39767727974315,1.66120142245496,0.640250125007096,2.50123793370103,1.13716336199323,-1.68066501320597,-0.807410533892796,1.1122283068755,1.66688135009492,-0.837609598968334,-0.82153780384893,-0.543522650446732,0.524659379610053,-4.5656158749761,-1.17062386571997,-1.38530246606489,-0.703538857186609,1.59680132728781,1.30998769005117,-1.42281428214156,0.909455001933173,0.812229421931997,1.2552720992586,-1.88632627991634,1.10423779180193,0.847439850964496,-2.49923997131923,-0.321488797986848,1.41824242358293,2.1199412514392,0.658868835049088,-0.807410533892796,-0.738204810666228,1.74689242531336,0.783233510194749,-1.26656744263832,-1.35001865203269,-0.647172974792791,0.695263793597936,-1.70344405053853,0.880497239422459,1.12887634701006,-1.50509365524744,-0.572002914729206,0.773730803559559,-0.914507954619747,-4.5656158749761,0.643946695917591,1.79666385773742,1.04427105636757,-1.12125343575419,1.1966833477745,-1.61389593752217,-1.00951022574794,0.204567563502483,-0.489171902428225,-1.46320972701589,-2.52712672130291,0.975666012669722
"LDLuptake",-2.01124106675829,1.46083765271516,-1.16712473547744,-1.2309809212928,1.47601449889858,0.816769789134975,-1.53014840122025,-0.975666012669722,-0.543304741811455,0.430585206012222,0.96225804155274,-1.20640855249932,0.686655254825856,-0.831449049191713,1.04254300066719,1.93479057614915,-0.872748822543913,2.41898224198115,1.23642669064227,0.425955873676166,1.03752768536137,-1.90622515436918,1.06574263260067,0.530709646900058,2.52624210493466,0.552420921314843,-1.04814892074273,0.925838338216073,-0.792841799036541,-0.60376483779863,0.873427696797884,1.2552720992586,1.39177679151715,-1.23261349405761,-0.984377371256292,0.278524187985257,-0.770775519542735,1.1122283068755,-1.79930150602797,-1.43861370911466,0.914507954619747,0.586305850750083,-1.11672950119088,0.738204810666228,-0.949827323245783,1.34883490649633,-1.23931193626753,1.78567435492169,-0.814864282701616,1.71533404556624,1.21488488351435,0.286206455099017,0.892285358588157,-1.37823741169994,1.89829676414678,-0.931819142671742,1.87008510899982,2.0942018842809,0.906218902371139,1.33178758107074,-1.25353794159535,1.01652384173061,-1.28158005636401,-2.97566922857011,1.64819335497584,1.1456499999419,-0.812700141644006,-1.4051388282618,-1.49524696738115,-1.04427105636757,-0.82153780384893,-1.59581546262911,-1.17541181217661,1.90300417852266
"LLOMe",-0.230349756315317,0.534074487577124,-1.47773022848949,2.06061274370085,-1.0735821531003,1.2456579431792,-0.513159147562169,1.53043132573319,-2.03848953775365,0.537300587057029,0.937541669300035,1.10423779180193,1.02367247590862,-1.12887634701006,-0.703538857186609,0.956202375558077,-1.00252520388044,0.552420921314843,-1.57981167991268,-0.346682312040869,-0.733489384568083,1.25480378015939,-1.85900803131792,1.0735821531003,0.7979319177074,1.40372753430335,1.1122283068755,0.430585206012222,0.738204810666228,0.438215601498085,-0.858040681739091,1.35414538230669,1.42978059564233,0.686655254825856,1.89633319113297,1.12887634701006,-0.699355324812891,-1.54925680062377,0.461695079723689,-1.18821173885549,1.01652384173061,-1.78931561928289,1.81347234649461,0.724987009344893,-2.19777701737411,-2.14504811752097,-2.3027839857187,-0.765052975381992,-0.628280810787837,-0.578969134323927,-0.658868835049088,-1.24527685595127,1.98972715198225,-2.80605584295307,-1.04427105636757,1.10423779180193,1.058055808159,1.20547495712565,-0.874988799571498,-0.937541669300035,1.70632277481148,-1.81977681413641,-1.17062386571997,1.6654350076217,0.746790551284607,-1.79666385773742,0.831944982233862,-1.77308876117585,0.654825671904793,-1.44942117055935,-0.310790358209656,0.738204810666228,0.250888908435145,-2.31607818807701
"Lysotracker",0.320723416760975,-1.2905204966184,1.06824502407431,0.920885901583608,-0.858239914561863,1.03961242925078,-0.669071294813106,1.47307801788211,-1.17451202062808,-2.33588952588652,-2.81927674787617,-2.05885636724333,-1.43159416682985,1.44517050125473,-1.03961242925078,1.73482390877597,0.837698599874677,1.19233478574436,-1.81053410785986,1.48245225005503,1.496205928976,1.26060831878975,-1.1072635468902,-2.78686892921982,-0.538213008857401,-1.96959330120626,-2.18655534838126,-0.977483181705607,1.23100765833404,-0.430543954751994,-0.50199647579045,-0.185215515531935,1.32319661925631,-1.14911151697326,1.0606037887891,1.37830221376457,-0.816699809891716,1.42821494596916,1.1072635468902,0.365564592518951,1.35511788909082,1.09956889673549,0.812177130851296,-1.27029378836594,-1.39306544909081,-1.92362185167266,0.425900981088759,-0.66506331079665,-1.57580825231505,1.51528596906296,2.09945285039365,0.66506331079665,2.10013462745976,1.75504857146734,-1.68174653589299,-0.938650920030363,-1.04676061378749,-0.990622391072048,1.39029274508326,-0.984519802033057,0.984519802033057,1.98200215014976,2.04540445609221,1.61973134419143,-0.702543954966711,0.619662514208652,1.3126527084368,1.86978269789587,-2.31498048654992,-1.38076899342495,1.16593679731137,0.34825324991167,1.65612750666756,2.79115077650114
"Survival",-0.498246941770658,-0.534074487577124,1.1122283068755,-2.22871310110072,-0.47003501679363,-0.742606420862612,-0.475206211770588,2.07662698830016,0.516149496936653,-1.50715863586047,0.670561367747607,1.1456499999419,0.812229421931997,0.375309905732235,1.12125343575419,0.738204810666228,-3.15614383929734,-1.13716336199323,-3.85750571876341,-0.229050070213405,0.943666691892684,1.66723341894284,2.44966293372269,-0.388589277399668,-0.858040681739091,-0.842282221595387,1.23642669064227,-1.64722406084804,-1.10423779180193,-1.30795079261549,-1.51908937814689,2.17026204742541,0.96225804155274,1.38008654341581,1.35461579012886,-1.43607851825132,-0.301687891032996,1.27553484202096,1.8657239291468,0.699355324812891,2.77074038507091,0.746790551284607,1.62821172251421,1.68788138847857,1.29842888139976,1.78370877207958,0.712072309957863,0.562478570657423,0.54945972005026,-0.746790551284607,-0.682947527682985,0.603644530696195,0.759756749565419,1.75883816713797,-0.96889015104449,0.769460474540401,-0.988924668656704,0.765052975381992,2.29126658454791,-1.25480378015939,-0.931819142671742,-4.5656158749761,2.12041574555006,1.28678281035221,-0.312566543185286,3.70171154611343,1.55464768661702,0.249375932839658,1.26656744263832,-0.518714282960319,-0.176628762596155,-0.48647560143279,1.0735821531003,-4.5656158749761
"TREM2",-0.491999071395603,-0.524659379610053,1.1399911216578,-2.01712950789828,0.939157277781941,-1.77009089545298,-0.742606420862612,2.08347443075462,0.900207191067526,1.53885376788337,2.66518491393779,-2.04169293520792,1.37930738677042,-0.733489384568083,1.64722406084804,-0.935462500702937,-1.76172365005158,-0.865107114817527,-1.30386387278087,1.7401538882944,0.884919592710141,0.54945972005026,2.77717883517408,-1.48117479830901,-4.32955640390369,-1.0669819206998,0.98329961410329,1.27032187285514,-1.10320074013063,-1.52986559913699,-0.738204810666228,2.19195162242332,0.589568463191834,1.52415498466915,1.25778367838343,1.73405683123883,-1.00258735372273,0.252376581057744,1.45818339307926,1.02668248361047,-1.37313622935063,1.2498345285588,-0.742474328540022,0.395220723355666,-2.37653718176145,0.678744129071095,1.22839159907024,0.30355098330203,0.513159147562169,-1.11970381216385,0.585680857918457,1.09068843765227,0.895088090172082,-1.59411624966465,1.33829589334701,-1.03014914113448,-2.47024644050857,-1.21373221073909,0.75125367977498,-0.707686440026822,-2.61207313445541,-4.5656158749761,1.06121985096825,-1.35201661558143,0.662345223820357,0.93429837951802,2.06999299975095,-0.724987009344893,-0.985741457537301,1.10893088261476,-1.1818883629838,-4.5656158749761,-4.5656158749761,0.819449505310967
